,,sfh_0,sfh_1,sfh_2,zh_0,zh_1,zh_2,sigma,logL,logL_birth,nlive
labels,,$sfh_0$,$sfh_1$,$sfh_2$,$zh_0$,$zh_1$,$zh_2$,$\sigma$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,
91,0.0,2.005287,9.962086,5.20053,0.0044749686,0.019963112,0.015018959,6.371684e-06,3828.5593,,59
92,0.0,0.6690369,10.966984,10.2454605,0.0048806933,0.005656013,0.0072315424,8.445908e-06,5649.082,-55371.668,58
93,0.0,2.8117003,11.704457,10.555057,0.009741948,0.013300009,0.0019330541,9.1758575e-06,6539.403,-55371.668,57
94,0.0,11.524516,1.8454379,4.689126,0.0048141275,0.011530908,0.0004950967,7.3010515e-06,6620.4062,,56
95,0.0,7.042632,11.931216,5.0274334,0.011069164,0.019942606,0.014229338,6.6544308e-06,6971.885,-55371.668,55
96,0.0,6.3716908,1.6190068,4.6110897,0.008095883,0.0051423437,0.016902704,8.742322e-06,8073.18,,54
97,0.0,8.763572,10.468838,9.7563095,0.0010972467,0.019142713,0.014703232,7.647196e-06,9017.628,,53
98,0.0,5.983577,6.498621,7.867375,0.008555661,0.016910216,0.010967,5.5099486e-06,9185.843,,52
99,0.0,5.4075665,7.7632937,7.8305693,0.013786788,0.0030908678,0.0027482559,5.7479797e-06,10698.625,,51
100,0.0,9.431811,8.967273,1.286071,0.011799604,0.011738799,0.0074594743,8.92417e-06,11246.546,10698.625,100
101,0.0,5.697477,8.541809,1.1177087,0.0017124056,0.012889149,0.009971553,9.548846e-06,11617.692,,99
102,0.0,6.5718565,4.147458,10.331803,0.005739325,0.01710486,0.0013990696,5.3612894e-06,11660.469,10698.625,98
103,0.0,7.072565,8.684583,1.8441797,0.0014461995,0.018756574,0.019995434,9.529249e-06,12636.1455,10698.625,97
104,0.0,4.947078,2.6352463,5.8439126,0.0054749274,0.010577959,0.0032271447,7.11582e-06,14250.765,-55371.668,96
105,0.0,4.256243,1.609907,5.519892,0.00048674704,0.010092042,0.014338941,8.718031e-06,15190.019,10698.625,95
106,0.0,3.5405405,7.5193925,10.212823,0.016722301,0.0028080055,0.008675045,7.2818357e-06,15219.847,10698.625,94
107,0.0,3.1306345,3.9700024,11.665321,0.018825911,0.00917503,0.012139336,5.490394e-06,15235.481,10698.625,93
108,0.0,10.604761,5.237145,2.3574858,0.0025259596,0.010318468,0.0003234919,8.823482e-06,16391.953,10698.625,92
109,0.0,3.1024237,0.24530813,6.79984,0.017373385,0.004996392,0.018309424,8.415302e-06,16917.43,,91
110,0.0,7.8332376,11.092254,0.0038388139,0.002874434,0.005595817,0.017983066,9.426934e-06,17102.162,10698.625,90
111,0.0,1.2301655,1.0841335,7.5073075,0.019998208,0.009415893,0.017454376,7.814641e-06,18977.902,-55371.668,89
112,0.0,11.7048435,5.6148257,2.385001,0.0018809219,0.011847832,0.00071026164,8.915751e-06,19057.229,-55371.668,88
113,0.0,10.384817,7.2503285,4.700265,0.011089962,0.019126946,0.012416426,7.889728e-06,19078.76,10698.625,87
114,0.0,2.4683344,7.650485,6.9926324,0.000850063,0.010290701,0.0026027686,5.678145e-06,19124.373,10698.625,86
115,0.0,10.118246,2.5729454,4.054086,0.015700089,0.00018246713,0.010599585,8.758529e-06,19294.43,,85
116,0.0,0.07302638,2.4905744,7.956377,0.01907342,0.017481446,0.01562015,7.284181e-06,19349.387,10698.625,84
117,0.0,0.009509289,6.5703664,7.803114,0.0049040313,0.0025863245,0.01610577,5.511736e-06,19980.002,-55371.668,83
118,0.0,4.6271396,5.298892,8.135311,0.014104939,0.014502986,0.013620939,6.031382e-06,20035.002,10698.625,82
119,0.0,6.3314815,4.0574784,6.634077,0.0051014298,0.0017394011,0.01595613,6.1120913e-06,20116.752,10698.625,81
120,0.0,1.0722883,9.29943,8.154754,0.0023396236,0.008891435,0.00036244257,6.845049e-06,20273.643,10698.625,80
121,0.0,9.717264,3.993186,4.2728276,0.012167193,0.0023214975,0.019089634,8.562739e-06,20308.426,,79
122,0.0,5.7849307,11.665979,2.288426,0.01041752,0.01998909,0.014749864,9.499655e-06,22347.564,-55371.668,78
123,0.0,2.7225902,6.4722476,11.443242,0.016931852,0.0052526644,0.008095273,8.032795e-06,22436.143,-55371.668,77
124,0.0,6.808119,9.717527,1.6217992,0.008457988,0.01175568,0.00921605,9.745111e-06,22891.873,10698.625,76
125,0.0,4.4695706,9.039719,4.999273,0.003446292,0.00089910004,0.0085905045,6.027567e-06,22918.85,10698.625,75
126,0.0,11.2533245,4.7722464,5.5316987,0.0018757301,0.007420474,0.0103358785,6.815025e-06,23298.527,,74
127,0.0,9.929072,11.179116,2.5461776,0.0069935042,0.0040371995,0.005836907,7.287391e-06,23304.68,10698.625,73
128,0.0,1.7314215,10.244176,7.9400334,0.0031508787,0.0011436593,0.014222617,7.5311823e-06,24173.0,10698.625,72
129,0.0,1.3863646,8.283025,3.8287199,0.004647435,0.008561518,0.009507736,8.403523e-06,25367.943,10698.625,71
130,0.0,2.9652119,1.5643514,9.76933,0.014376583,0.004996228,0.008761893,5.1288803e-06,25413.986,,70
131,0.0,7.0736027,5.6590567,10.575244,0.017178096,0.006301756,0.019813813,6.8939494e-06,25430.832,10698.625,69
132,0.0,2.1696296,8.1636095,5.325812,0.016229397,0.007461134,0.010915085,7.3551464e-06,25750.357,-55371.668,68
133,0.0,11.035696,3.6895208,4.3163385,0.0034414432,0.0038800633,0.011872661,8.309328e-06,25952.615,-55371.668,67
134,0.0,8.365967,1.4805846,7.142558,0.0075947586,0.016436528,0.006055857,7.6543565e-06,25991.236,-55371.668,66
135,0.0,7.650935,8.500956,11.110367,0.0042486493,0.008000235,0.017886894,9.716377e-06,26227.371,,65
136,0.0,5.6922174,8.017021,11.115228,0.0052426057,0.015192554,0.019537434,8.228905e-06,26722.824,-55371.668,64
137,0.0,3.519908,6.082929,8.663741,0.01405181,0.010301525,0.003111789,6.2098766e-06,27015.908,,63
138,0.0,4.471575,6.3855143,4.1107097,0.009070095,0.0034767399,0.00086161046,6.768264e-06,27142.352,-55371.668,62
